Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
2010,Jan,11724,11723,23447,-3.2,1906253,1913801,3820054,-1.7,113334,187245,300579,43.1
2010,Feb,11132,11121,22253,4.9,1903106,1932304,3835410,17.9,100685,156413,257098,30.1
2010,Mar,12168,12189,24357,2.4,1996482,2056281,4052763,6.6,127316,220168,347483,29.7
2010,Apr,12348,12352,24700,2.6,2066587,2011508,4078095,-1.3,123328,229516,352843,37.5
2010,May,12685,12686,25371,8.4,1989423,2040482,4029905,14.9,129287,237029,366316,41.6
2010,Jun,12386,12384,24770,15.2,2026111,2070870,4096981,27.2,125832,221506,347338,28.8
2010,Jul,13361,13355,26716,14.7,2282784,2343553,4626337,18,132840,230460,363300,24.6
2010,Aug,13566,13563,27129,14.5,2318179,2272106,4590285,9.3,121192,224959,346151,17
2010,Sep,13054,13057,26111,15.8,1961220,2055165,4016385,17,120933,225015,345948,13.8
2010,Oct,13608,13587,27195,13.7,2164533,2098364,4262897,11.5,130144,242402,372546,15.3
2010,Nov,13366,13385,26751,13.8,2009235,2027892,4037127,7.9,121034,246154,367188,6.9
2010,Dec,13881,13858,27739,14.6,2163237,2165676,4328913,6.2,133271,228110,361381,9.9
2011,Jan,13716,13707,27423,17,2018970,2188292,4207262,10.1,124091,209220,333312,10.9
2011,Feb,12159,12146,24305,9.2,2019211,1889523,3908734,1.9,102254,139649,241903,-5.9
2011,Mar,14057,14087,28144,15.5,2043980,2071634,4115614,1.6,133508,235817,369324,6.3
2011,Apr,13854,13844,27698,12.1,2180834,2238351,4419185,8.4,120155,209352,329507,-6.6
2011,May,13923,13925,27848,9.8,2128754,2138563,4267317,5.9,120158,209139,329297,-10.1
2011,Jun,13557,13539,27096,9.4,2155051,2173686,4328737,5.7,117860,203075,320935,-7.6
2011,Jul,14442,14449,28891,8.1,2408153,2487279,4895432,5.8,124652,215747,340398,-6.3
2011,Aug,14477,14474,28951,6.7,2487664,2410109,4897773,6.7,115894,202433,318328,-8
2011,Sep,13862,13856,27718,6.2,2069126,2176596,4245722,5.7,117293,207705,324998,-6.1
2011,Oct,14280,14277,28557,5,2295964,2229015,4524979,6.1,119325,222967,342293,-8.1
2011,Nov,13943,13937,27880,4.2,2119774,2137734,4257508,5.5,117789,224308,342097,-6.8
2011,Dec,14649,14646,29295,5.6,2334448,2350007,4684455,8.2,129272,216362,345634,-4.4
2012,Jan,14513,14498,29011,5.8,2330233,2461330,4791563,13.9,103271,172351,275623,-17.3
2012,Feb,13295,13288,26583,9.4,2027056,1967589,3994645,2.2,112463,173458,285922,18.2
2012,Mar,14799,14806,29605,5.2,2232679,2319542,4552221,10.6,128758,239507,368265,-0.3
2012,Apr,14518,14518,29036,4.8,2409398,2390691,4800089,8.6,114926,212394,327321,-0.7
2012,May,14615,14628,29243,5,2228770,2241565,4470335,4.8,119914,213047,332961,1.1
2012,Jun,14227,14204,28431,4.9,2275492,2321499,4596991,6.2,125678,208117,333795,4
2012,Jul,14940,14939,29879,3.4,2448576,2513292,4961868,1.4,126376,208328,334704,-1.7
2012,Aug,15246,15243,30489,5.3,2585672,2540398,5126070,4.7,119133,208858,327991,3
2012,Sep,14424,14430,28854,4.1,2093402,2241837,4335239,2.1,125384,221330,346714,6.7
2012,Oct,15029,15011,30040,5.2,2393540,2250711,4644251,2.6,124197,221699,345896,1.1
2012,Nov,14855,14859,29714,6.6,2250167,2255939,4506106,5.8,126812,247365,374177,9.4
2012,Dec,15400,15399,30799,5.1,2419130,2457175,4876305,4.1,136060,235922,371983,7.6
2013,Jan,15145,15147,30292,4.4,2242322,2302117,4544439,-5.2,123542,210766,334308,21.3
2013,Feb,13849,13831,27680,4.1,2312388,2304793,4617181,15.6,100601,149789,250390,-12.4
2013,Mar,15265,15286,30551,3.2,2382897,2563481,4946378,8.7,131323,228311,359634,-2.3
2013,Apr,15294,15258,30552,5.2,2479143,2386476,4865619,1.4,119433,222129,341562,4.4
2013,May,15517,15541,31058,6.2,2318202,2345076,4663278,4.3,122550,216241,338791,1.8
2013,Jun,15267,15288,30555,7.5,2442046,2513188,4955234,7.8,122602,213822,336424,0.8
2013,Jul,16077,16069,32146,7.6,2628771,2725633,5354404,7.9,123016,218584,341600,2.1
2013,Aug,16211,16204,32415,6.3,2815176,2734813,5549989,8.3,121430,214957,336387,2.6
